id,title,addr,addr_area,addr_sigun,cat_large,cat_middle,cat_sub,cat1,cat2,grade,review_num,ratings
125725,추곡약수터,강원도 춘천시 북산면 추곡약수길 89-1,강원도,춘천시,자연,자연관광지,강계곡,자연관광지|강계곡,자연|자연관광지|강계곡,4,2,0.0
645823,춘천숲자연휴양림,강원도 춘천시 동산면 종자리로 224-104,강원도,춘천시,자연,자연관광지,산,자연관광지|산,자연|자연관광지|산,5,17,2.8
2710597,춘천평화생태공원꿈자람물정원,강원도 춘천시 소양로3가 128-1,강원도,춘천시,자연,자연관광지,사진맛집,자연관광지|사진맛집,자연|자연관광지|사진맛집,1,1,4.8
125747,춘천호,강원도 춘천시 서면 오월리,강원도,춘천시,자연,자연관광지,강계곡,자연관광지|강계곡,자연|자연관광지|강계곡,5,5,0.0
2710610,하중도수변생태공원,강원도 춘천시 하중도 650-2,강원도,춘천시,자연,자연관광지,산,자연관광지|산,자연|자연관광지|산,1,17,5.0
2705409,강아지숲,강원도 춘천시 남산면 충효로 437,강원도,춘천시,인문,휴양관광지,사진맛집,휴양관광지|사진맛집,인문|휴양관광지|사진맛집,1,47,3.9
128778,강원 경찰충혼탑,강원도 춘천시 서면 박사로 1210,강원도,춘천시,인문,건축/조형물,기념,건축/조형물|기념,인문|건축/조형물|기념,3,0,0.0
2610850,강원숲체험장,강원도 춘천시 서면 납실길 107-64,강원도,춘천시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,1,9,0.0
2706334,강촌 출렁다리공원,강원도 춘천시 남산면 강촌리,강원도,춘천시,인문,휴양관광지,공원,휴양관광지|공원,인문|휴양관광지|공원,1,15,2.0
2710738,강촌랜드,강원도 춘천시 남산면 강촌로 88,강원도,춘천시,인문,휴양관광지,공원,휴양관광지|공원,인문|휴양관광지|공원,1,8,3.5
125605,강촌유원지,강원도 춘천시 남산면 일원,강원도,춘천시,인문,휴양관광지,사진맛집,휴양관광지|사진맛집,인문|휴양관광지|사진맛집,5,0,0.0
2774556,건봉령승호대,강원도 춘천시 북산면 부귀리 산59-8,강원도,춘천시,인문,건축/조형물,예술,건축/조형물|예술,인문|건축/조형물|예술,1,14,5.0
129004,공지천 조각공원,강원도 춘천시 근화동,강원도,춘천시,인문,문화시설,예술,문화시설|예술,인문|문화시설|예술,5,27,4.6
127617,공지천(황금비늘테마거리),강원도 춘천시 이디오피아길 25,강원도,춘천시,인문,휴양관광지,사진맛집,휴양관광지|사진맛집,인문|휴양관광지|사진맛집,5,0,0.0
2710586,공지천유원지,강원도 춘천시 이디오피아길 25,강원도,춘천시,인문,휴양관광지,사진맛집,휴양관광지|사진맛집,인문|휴양관광지|사진맛집,1,83,4.4
129686,구봉산 전망대 카페거리,강원도 춘천시 동면 순환대로 1154-113,강원도,춘천시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,5,33,4.0
127933,김유정문학촌,강원도 춘천시 신동면 김유정로 1430-14,강원도,춘천시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,5,100,3.7
2715374,김정묘역 문인석,강원도 춘천시 칠전동 619-2,강원도,춘천시,인문,건축/조형물,기념,건축/조형물|기념,인문|건축/조형물|기념,1,0,0.0
2715365,김청풍부원군묘역,강원도 춘천시 서면 경춘로 667-9,강원도,춘천시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,1,0,0.0
128019,남이섬,강원도 춘천시 남이섬길 1 남이섬,강원도,춘천시,인문,휴양관광지,사진맛집,휴양관광지|사진맛집,인문|휴양관광지|사진맛집,5,397,2.7
2815362,레고랜드 코리아 리조트,강원도 춘천시 하중도길 128,강원도,춘천시,인문,휴양관광지,공원,휴양관광지|공원,인문|휴양관광지|공원,1,240,2.2
2663739,려우도예,강원도 춘천시 신동면 김유정로 1430-14,강원도,춘천시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,1,0,0.0
2787555,매운탕골,강원 춘천시 서면 오월리,강원도,춘천시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,1,0,5.0
2789885,명월리산촌생태마을,강원도 춘천시 서면 명월길 410,강원도,춘천시,인문,체험관광지,농어촌,체험관광지|농어촌,인문|체험관광지|농어촌,1,0,0.0
2714536,문배마을,강원도 춘천시 남산면 강촌리 444-11,강원도,춘천시,인문,체험관광지,농어촌,체험관광지|농어촌,인문|체험관광지|농어촌,1,27,2.3
128297,물안마을,강원 춘천시 북산면 부귀리,강원도,춘천시,인문,체험관광지,농어촌,체험관광지|농어촌,인문|체험관광지|농어촌,4,2,0.0
2764599,박사마을,강원도 춘천시 서면 당산1길 7,강원도,춘천시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,1,0,0.0
128786,방동리 고구려고분,강원도 춘천시 서면 신숭겸로 272-21,강원도,춘천시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,3,1,0.0
776735,삼운사(춘천),강원도 춘천시 후석로441번길 12,강원도,춘천시,인문,역사관광지,종교,역사관광지|종교,인문|역사관광지|종교,4,1,0.0
317569,상원사(춘천),강원도 춘천시 서면 박사로 169-47,강원도,춘천시,인문,역사관광지,종교,역사관광지|종교,인문|역사관광지|종교,3,1,2.0
128780,서상리삼층석탑,강원도 춘천시 서면,강원도,춘천시,인문,건축/조형물,기념,건축/조형물|기념,인문|건축/조형물|기념,3,2,0.0
127476,소양강댐,강원도 춘천시 신북읍 신샘밭로 1128,강원도,춘천시,인문,건축/조형물,예술,건축/조형물|예술,인문|건축/조형물|예술,5,9,0.0
2470375,소양강댐 물 문화관,강원도 춘천시 신북읍 신샘밭로 1128,강원도,춘천시,인문,산업관광지,공장단지,산업관광지|공장단지,인문|산업관광지|공장단지,2,17,4.1
2396037,소양강스카이워크,강원도 춘천시 영서로 2663,강원도,춘천시,인문,건축/조형물,예술,건축/조형물|예술,인문|건축/조형물|예술,3,393,3.4
129416,소양강처녀상,강원도 춘천시 영서로 2675,강원도,춘천시,인문,건축/조형물,예술,건축/조형물|예술,인문|건축/조형물|예술,5,116,3.8
2702541,소양로비석군,강원도 춘천시 소양로1가,강원도,춘천시,인문,건축/조형물,기념,건축/조형물|기념,인문|건축/조형물|기념,1,1,0.0
2787575,소양정,강원도 춘천시 소양정길42번길 24,강원도,춘천시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,1,4,5.0
2605271,소양호 막국수거리,강원도 춘천시 신북읍 천전리,강원도,춘천시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,1,1,0.0
128934,소양호 유람선,강원도 춘천시 북산면 신샘밭로 1133,강원도,춘천시,인문,휴양관광지,물놀이,휴양관광지|물놀이,인문|휴양관광지|물놀이,5,8,4.0
128782,신장절공묘역,강원도 춘천시 서면 신숭겸로 272-21,강원도,춘천시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,3,9,4.5
127654,엘리시안 강촌,강원도 춘천시 남산면 북한강변길 688,강원도,춘천시,인문,휴양관광지,사진맛집,휴양관광지|사진맛집,인문|휴양관광지|사진맛집,4,118,3.3
128370,원평 팜스테이,강원도 춘천시 사북면 말고개길 82-35,강원도,춘천시,인문,체험관광지,농어촌,체험관광지|농어촌,인문|체험관광지|농어촌,3,118,2.7
